,ubicacion,latitud,longitud
94,Anillo Perif?rico y Embarcadero del Parque Ecol?gico de Xochimilco,19.2970067,-99.095585
95,Calz. Ignacio Zaragoza y Primavera,19.3960176,-99.0550857
96,Av. Instituto Polit?cnico Nacional y Eje 5 Nte Montevideo,19.491188,-99.133574
97,Calz Gral. Mariano Escobedo y Av. Marina Nacional,19.448148,-99.182418
98,Jos? Mar?a Izazaga y Jos? Mar?a Pino Su?rez,19.425918,-99.132917
99,Eje 1 Norte - Insurgentes - Buenavista,19.446385,-99.153443
100,Eje 2 Norte Canal del Norte y Av. Circunvalaci?n y Eje 1 Oriente Av. del Trabajo,19.452092,-99.124707
101,Eje 1 Ote. Andr?s Molina Enr?quez y Eje 5 Sur Playa Villa del Mar,19.381404,-99.129493
102,Eje 9 Sur Taxque?a y Eje 1 Oriente Canal de Miramontes,19.341127,-99.137371
103,Eje 1 Poniente,19.435965,-99.149726
105,Perif?rico 2P S-N / Miguel Cabrera y La Casta?eda,19.371011,-99.191443
107,Calzada de Misterios y Eje 3 Norte Av. Alfredo Robles Dom?nguez,19.468471,-99.124941
108,Av. Constituyentes y Camino de los Toros,19.4062947,-99.2022534
109,Av. Tláhuac,19.349157,-99.106869
110,Av. Instituto Polit?cnico Nacional y Av. Ricarte,19.488276,-99.133981
111,Eje 8 Sur Ermita Iztapalapa y Eje 5 Ote Av. Rojo G?mez,19.482184,-99.133978
112,Eje 8 Sur,19.366426,-99.167849
113,Av. Ej?rcito Nacional y Calle Luis Vives,19.4387035,-99.2097713
114,Eje 5 Av. Montevideo y Nte. 31-A,19.4943507,-99.1502647
115,Av. Chapultepec y Guaymas,19.4253317,-99.1556279
116,Av.608 y Av. 508,19.4537273,-99.0755043
120,Paseo de la Reforma y Eje Central L?zaro C?rdenas y Eje 1 Norte Mosqueta,19.443908,-99.139101
121,Eje 8 Sur Ermita Iztapalapa y Eje 6 Sur Narciso Mendoza,19.376515,-99.059128
122,Perif?rico Oriente Canal de Garay - Av. Tl?huac y San Lorenzo,19.318721,-99.075577
123,Eje 9 Sur Miguel ?ngel de Quevedo y Av. Universidad,19.346607,-99.180692
124,Insurgentes Buenavista y Eje 1 Norte,19.446385,-99.153443
125,Av. Calzada Ignacio Zaragoza y Azc?rraga Vidaurreta,19.3889366,-99.0423924
126,Calz. Gral. Mariano Escobedo,19.443364,-99.183073
127,Eje 1 Nte. Jos? Antonio ?lzate y Naranjo,19.447244,-99.159553
128,Circuito Bicentenario Av. R?o Consulado y Av. Encarnaci?n Ort?z,19.463576,-99.148482
129,Eje 1 Norte Mosqueta - Paseo de la Reforma y Eje Central L?zaro C?rdenas,19.444137,-99.140003
130,Eje 1 Oriente Canal de Miramontes y Eje 9 Sur Taxque?a y Cerro de Teponaxtle,19.340973,-99.137389
131,Av. Paseo de la Reforma e Ignacio Allende,19.445922,-99.137033
132,Eje Central y Margarita Maza de Juarez,19.5084073,-99.151726
133,Calz. Vallejo y Calle Pino Su?rez,19.511921,-99.160748
134,Circuito Bicentenario Av. R?o Consulado y Av. Congreso de la Uni?n,19.4561169,-99.1144101
135,Perif?rico 2P S-N/Cda las Flores y Calz de las ?guilas,19.3593912,-99.1932155
